Project,Bug_id,Average_coverage_buggy_files,Average_coverage_stack_trace_files,Average_all_files_coverage,Average_buggy_methods_coverage,Average_st_methods_coverage,Pos_first_buggy_method_in_stack_trace
Cli,14,62.67,61.78,56.57,74.19,78.97,5
Cli,5,62.50,57.92,50.63,62.50,60.58,1
Closure,106,23.61,N/A,42.66,0.00,N/A,
Closure,125,63.25,51.51,47.82,84.52,62.69,9
Closure,2,60.82,57.47,47.01,55.56,58.70,1
Closure,27,36.57,N/A,46.41,0.00,N/A,
Closure,34,36.30,34.88,46.52,34.15,32.78,
Closure,37,44.83,46.22,46.52,42.50,74.60,2
Closure,55,15.51,45.23,46.49,0.00,60.04,
Codec,8,64.00,64.00,64.66,51.48,69.61,1
Collections,28,N/A,31.00,45.88,N/A,0.00,
Compress,1,53.45,51.69,50.15,47.14,71.21,
Compress,12,58.58,65.46,52.90,65.71,71.48,4
Compress,14,56.63,59.06,52.65,60.00,72.83,29
Compress,17,63.09,59.39,52.75,76.67,38.33,1
Compress,18,69.23,69.23,52.81,70.00,69.50,2
Compress,23,4.73,39.54,51.92,0.00,47.92,1
Compress,32,64.47,64.47,51.07,73.08,82.28,4
Csv,12,N/A,56.16,59.16,N/A,74.00,
Csv,4,55.40,55.40,59.62,50.00,50.00,3
fastjson,2351,61.21,44.76,49.94,90.24,46.76,
fastjson,3119,77.13,46.47,49.52,79.68,63.38,48
fastjson,3280,42.09,44.59,49.93,75.00,56.84,
fastjson,3637,37.85,38.84,49.17,10.34,36.91,1
Gson,12,69.81,69.81,45.26,77.78,77.78,1
Gson,8,16.67,16.67,44.97,0.00,0.00,2
JacksonCore,4,73.68,70.89,50.36,80.00,61.09,1
JacksonCore,7,49.98,49.18,50.40,49.25,50.00,
JacksonDatabind,104,6.04,6.04,20.06,0.00,0.00,
JacksonDatabind,14,32.05,50.20,39.58,53.33,56.03,8
JacksonDatabind,15,53.52,45.62,39.54,48.43,68.23,3
JacksonDatabind,17,34.30,33.69,39.85,0.00,46.55,
JacksonDatabind,25,52.44,58.22,39.36,60.46,70.12,
JacksonDatabind,28,29.81,41.83,39.38,76.36,62.09,4
JacksonDatabind,32,19.14,46.53,39.36,13.68,55.22,
JacksonDatabind,58,24.23,25.68,20.21,24.24,37.62,1
JacksonDatabind,61,17.93,6.33,19.90,11.11,0.00,
JacksonDatabind,69,21.21,22.16,20.23,0.00,44.28,
JacksonDatabind,70,22.27,18.11,19.91,40.00,14.81,1
JacksonDatabind,72,N/A,8.32,20.23,N/A,20.50,
JacksonDatabind,9,29.24,N/A,39.50,58.57,N/A,
JacksonDatabind,90,3.61,5.26,19.91,0.00,14.77,
JacksonDatabind,91,31.89,N/A,19.91,28.61,N/A,
JacksonDatabind,93,0.00,7.57,19.87,0.00,29.56,1
JacksonDatabind,98,0.00,3.15,20.06,0.00,0.00,7
Jsoup,54,22.68,49.34,48.45,0.00,45.83,1
Jsoup,78,28.09,50.36,46.53,46.00,59.83,6
Jsoup,80,76.14,59.10,46.89,80.00,73.45,4
Jsoup,82,60.47,55.43,46.90,92.06,60.00,
Jsoup,84,20.79,48.06,47.00,0.00,56.69,4
Jsoup,90,12.90,12.90,47.22,0.00,11.11,1
jsoup,1218,44.26,51.04,44.40,60.62,54.56,1
jsoup,1251,0.00,50.41,44.37,0.00,62.69,2
jsoup,1274,71.11,65.66,44.41,100.00,71.28,
jsoup,1324,50.50,52.08,45.11,70.83,56.95,
jsoup,740,41.67,47.50,45.84,65.00,67.53,
jsoup,968,38.57,45.05,44.95,60.00,58.33,
jsoup,990,50.72,43.98,44.97,88.89,82.22,3
JxPath,5,52.92,51.59,48.49,70.00,68.99,1
Mockito,17,44.76,N/A,46.64,55.56,N/A,
Mockito,25,43.75,N/A,46.16,33.02,N/A,
Mockito,30,20.68,N/A,47.23,25.04,N/A,
Mockito,31,23.53,N/A,47.24,0.00,N/A,
Mockito,4,27.59,46.44,46.32,31.35,70.60,3
Mockito,5,52.46,N/A,46.19,65.00,N/A,
Time,10,57.02,60.11,53.15,71.43,78.03,4